,Cell,SPEI,lat,lon
217, 55.250000  41.250000,-1.4512,41.250000, 55.25000
218, 55.250000  41.750000,-1.7523,41.750000, 55.25000
219, 55.250000  42.250000,-2.0002,42.250000, 55.25000
220, 55.250000  42.750000,-2.159,42.750000, 55.25000
221, 55.250000  43.250000,-2.2654,43.250000, 55.25000
222, 55.250000  43.750000,-2.2369,43.750000, 55.25000
223, 55.250000  44.250000,-2.1931,44.250000, 55.25000
224, 55.250000  44.750000,-2.2159,44.750000, 55.25000
225, 55.250000  45.250000,-2.0132,45.250000, 55.25000
226, 55.250000  45.750000,-1.9432,45.750000, 55.25000
227, 55.250000  46.250000,-1.7631,46.250000, 55.25000
228, 55.250000  46.750000,-1.6679,46.750000, 55.25000
229, 55.250000  47.250000,-1.6449,47.250000, 55.25000
230, 55.250000  47.750000,-1.5662,47.750000, 55.25000
231, 55.250000  48.250000,-1.5506,48.250000, 55.25000
232, 55.250000  48.750000,-1.5771,48.750000, 55.25000
233, 55.250000  49.250000,-1.2872,49.250000, 55.25000
234, 55.250000  49.750000,-1.2605,49.750000, 55.25000
235, 55.250000  50.250000,-1.1249,50.250000, 55.25000
236, 55.250000  50.750000,-1.0467,50.750000, 55.25000
237, 55.750000  41.250000,-1.5604,41.250000, 55.75000
238, 55.750000  41.750000,-1.692,41.750000, 55.75000
239, 55.750000  42.250000,-1.8523,42.250000, 55.75000
240, 55.750000  42.750000,-2.1419,42.750000, 55.75000
241, 55.750000  43.250000,-2.2455,43.250000, 55.75000
242, 55.750000  43.750000,-2.2314,43.750000, 55.75000
243, 55.750000  44.250000,-2.1837,44.250000, 55.75000
244, 55.750000  44.750000,-2.2574,44.750000, 55.75000
245, 55.750000  45.250000,-2.0412,45.250000, 55.75000
246, 55.750000  45.750000,-2.0025,45.750000, 55.75000
247, 55.750000  46.250000,-1.8045,46.250000, 55.75000
248, 55.750000  46.750000,-1.6986,46.750000, 55.75000
249, 55.750000  47.250000,-1.6434,47.250000, 55.75000
250, 55.750000  47.750000,-1.5567,47.750000, 55.75000
251, 55.750000  48.250000,-1.545,48.250000, 55.75000
252, 55.750000  48.750000,-1.4695,48.750000, 55.75000
253, 55.750000  49.250000,-1.3471,49.250000, 55.75000
254, 55.750000  49.750000,-1.2986,49.750000, 55.75000
255, 55.750000  50.250000,-1.2416,50.250000, 55.75000
256, 55.750000  50.750000,-1.088,50.750000, 55.75000
257, 56.250000  41.250000,-1.5958,41.250000, 56.25000
258, 56.250000  41.750000,-1.7317,41.750000, 56.25000
259, 56.250000  42.250000,-1.8554,42.250000, 56.25000
260, 56.250000  42.750000,-1.9255,42.750000, 56.25000
261, 56.250000  43.250000,-2.2054,43.250000, 56.25000
262, 56.250000  43.750000,-2.305,43.750000, 56.25000
263, 56.250000  44.250000,-2.2922,44.250000, 56.25000
264, 56.250000  44.750000,-2.2732,44.750000, 56.25000
265, 56.250000  45.250000,-2.0334,45.250000, 56.25000
266, 56.250000  45.750000,-1.9696,45.750000, 56.25000
267, 56.250000  46.250000,-1.8935,46.250000, 56.25000
268, 56.250000  46.750000,-1.7608,46.750000, 56.25000
269, 56.250000  47.250000,-1.6423,47.250000, 56.25000
270, 56.250000  47.750000,-1.6247,47.750000, 56.25000
271, 56.250000  48.250000,-1.5184,48.250000, 56.25000
272, 56.250000  48.750000,-1.5325,48.750000, 56.25000
273, 56.250000  49.250000,-1.3109,49.250000, 56.25000
274, 56.250000  49.750000,-1.3654,49.750000, 56.25000
275, 56.250000  50.250000,-1.2545,50.250000, 56.25000
276, 56.250000  50.750000,-1.0533,50.750000, 56.25000
277, 56.750000  44.750000,-2.3433,44.750000, 56.75000
278, 56.750000  45.250000,-2.0577,45.250000, 56.75000
279, 56.750000  45.750000,-1.9536,45.750000, 56.75000
280, 56.750000  46.250000,-1.8374,46.250000, 56.75000
281, 56.750000  46.750000,-1.6653,46.750000, 56.75000
282, 56.750000  47.250000,-1.7687,47.250000, 56.75000
283, 56.750000  47.750000,-1.688,47.750000, 56.75000
284, 56.750000  48.250000,-1.5255,48.250000, 56.75000
285, 56.750000  48.750000,-1.4663,48.750000, 56.75000
286, 56.750000  49.250000,-1.4549,49.250000, 56.75000
287, 56.750000  49.750000,-1.3138,49.750000, 56.75000
288, 56.750000  50.250000,-1.2569,50.250000, 56.75000
289, 56.750000  50.750000,-1.1224,50.750000, 56.75000
290, 57.250000  45.250000,-2.1792,45.250000, 57.25000
291, 57.250000  45.750000,-1.9917,45.750000, 57.25000
292, 57.250000  46.250000,-1.8444,46.250000, 57.25000
293, 57.250000  46.750000,-1.6566,46.750000, 57.25000
294, 57.250000  47.250000,-1.676,47.250000, 57.25000
295, 57.250000  47.750000,-1.6714,47.750000, 57.25000
296, 57.250000  48.250000,-1.6117,48.250000, 57.25000
297, 57.250000  48.750000,-1.4832,48.750000, 57.25000
298, 57.250000  49.250000,-1.5166,49.250000, 57.25000
299, 57.250000  49.750000,-1.3501,49.750000, 57.25000
300, 57.250000  50.250000,-1.3312,50.250000, 57.25000
301, 57.250000  50.750000,-1.1409,50.750000, 57.25000
302, 57.750000  45.250000,-2.1535,45.250000, 57.75000
303, 57.750000  45.750000,-2.0361,45.750000, 57.75000
304, 57.750000  46.250000,-1.8266,46.250000, 57.75000
305, 57.750000  46.750000,-1.6272,46.750000, 57.75000
306, 57.750000  47.250000,-1.6318,47.250000, 57.75000
307, 57.750000  47.750000,-1.5812,47.750000, 57.75000
308, 57.750000  48.250000,-1.5505,48.250000, 57.75000
309, 57.750000  48.750000,-1.5792,48.750000, 57.75000
310, 57.750000  49.250000,-1.5142,49.250000, 57.75000
311, 57.750000  49.750000,-1.4081,49.750000, 57.75000
312, 57.750000  50.250000,-1.284,50.250000, 57.75000
313, 57.750000  50.750000,-1.25,50.750000, 57.75000
314, 58.250000  45.250000,-2.088,45.250000, 58.25000
315, 58.250000  45.750000,-1.9345,45.750000, 58.25000
316, 58.250000  46.250000,-1.7569,46.250000, 58.25000
317, 58.250000  46.750000,-1.6095,46.750000, 58.25000
318, 58.250000  47.250000,-1.4729,47.250000, 58.25000
319, 58.250000  47.750000,-1.5412,47.750000, 58.25000
320, 58.250000  48.250000,-1.4674,48.250000, 58.25000
321, 58.250000  48.750000,-1.5051,48.750000, 58.25000
322, 58.250000  49.250000,-1.5599,49.250000, 58.25000
323, 58.250000  49.750000,-1.3658,49.750000, 58.25000
324, 58.250000  50.250000,-1.2885,50.250000, 58.25000
325, 58.250000  50.750000,-1.1512,50.750000, 58.25000
326, 58.750000  45.250000,-1.9646,45.250000, 58.75000
327, 58.750000  45.750000,-1.8421,45.750000, 58.75000
328, 58.750000  46.250000,-1.7417,46.250000, 58.75000
329, 58.750000  46.750000,-1.6882,46.750000, 58.75000
330, 58.750000  47.250000,-1.5711,47.250000, 58.75000
331, 58.750000  47.750000,-1.495,47.750000, 58.75000
332, 58.750000  48.250000,-1.4367,48.250000, 58.75000
333, 58.750000  48.750000,-1.5203,48.750000, 58.75000
334, 58.750000  49.250000,-1.3156,49.250000, 58.75000
335, 58.750000  49.750000,-1.2287,49.750000, 58.75000
336, 58.750000  50.250000,-1.117,50.250000, 58.75000
337, 58.750000  50.750000,-1.1013,50.750000, 58.75000
338, 59.250000  44.750000,-2.0019,44.750000, 59.25000
339, 59.250000  45.250000,-1.9028,45.250000, 59.25000
340, 59.250000  45.750000,-1.8625,45.750000, 59.25000
341, 59.250000  46.250000,-1.7143,46.250000, 59.25000
342, 59.250000  46.750000,-1.6503,46.750000, 59.25000
343, 59.250000  47.250000,-1.5102,47.250000, 59.25000
344, 59.250000  47.750000,-1.4284,47.750000, 59.25000
345, 59.250000  48.250000,-1.4395,48.250000, 59.25000
346, 59.250000  48.750000,-1.3012,48.750000, 59.25000
347, 59.250000  49.250000,-1.2592,49.250000, 59.25000
348, 59.250000  49.750000,-1.173,49.750000, 59.25000
349, 59.250000  50.250000,-1.1285,50.250000, 59.25000
350, 59.750000  44.750000,-1.927,44.750000, 59.75000
351, 59.750000  45.250000,-1.9814,45.250000, 59.75000
352, 59.750000  45.750000,-1.8329,45.750000, 59.75000
353, 59.750000  46.250000,-1.7202,46.250000, 59.75000
354, 59.750000  46.750000,-1.6971,46.750000, 59.75000
355, 59.750000  47.250000,-1.4518,47.250000, 59.75000
356, 59.750000  47.750000,-1.5547,47.750000, 59.75000
357, 59.750000  48.250000,-1.4037,48.250000, 59.75000
358, 59.750000  48.750000,-1.309,48.750000, 59.75000
359, 59.750000  49.250000,-1.1549,49.250000, 59.75000
360, 59.750000  49.750000,-0.96945,49.750000, 59.75000
361, 59.750000  50.250000,-1.0952,50.250000, 59.75000
362, 59.750000  50.750000,-0.89567,50.750000, 59.75000
363, 60.250000  44.250000,-1.9244,44.250000, 60.25000
364, 60.250000  44.750000,-1.9766,44.750000, 60.25000
365, 60.250000  45.250000,-1.9647,45.250000, 60.25000
366, 60.250000  45.750000,-1.8012,45.750000, 60.25000
367, 60.250000  46.250000,-1.6673,46.250000, 60.25000
368, 60.250000  46.750000,-1.6576,46.750000, 60.25000
369, 60.250000  47.250000,-1.4058,47.250000, 60.25000
370, 60.250000  47.750000,-1.4196,47.750000, 60.25000
371, 60.250000  48.250000,-1.3181,48.250000, 60.25000
372, 60.250000  48.750000,-1.09,48.750000, 60.25000
373, 60.250000  49.250000,-0.87868,49.250000, 60.25000
374, 60.250000  49.750000,-0.77798,49.750000, 60.25000
375, 60.250000  50.250000,-0.82553,50.250000, 60.25000
376, 60.250000  50.750000,-0.60182,50.750000, 60.25000
377, 60.250000  51.250000,-0.37398,51.250000, 60.25000
378, 60.250000  51.750000,-0.3239,51.750000, 60.25000
379, 60.250000  52.250000,-0.29122,52.250000, 60.25000
380, 60.750000  44.250000,-1.8332,44.250000, 60.75000
381, 60.750000  44.750000,-1.8534,44.750000, 60.75000
382, 60.750000  45.250000,-1.954,45.250000, 60.75000
383, 60.750000  45.750000,-1.7884,45.750000, 60.75000
384, 60.750000  46.250000,-1.6673,46.250000, 60.75000
385, 60.750000  46.750000,-1.5983,46.750000, 60.75000
386, 60.750000  47.250000,-1.5151,47.250000, 60.75000
387, 60.750000  47.750000,-1.1736,47.750000, 60.75000
388, 60.750000  48.250000,-1.1184,48.250000, 60.75000
389, 60.750000  48.750000,-0.88198,48.750000, 60.75000
390, 60.750000  49.250000,-0.72182,49.250000, 60.75000
391, 60.750000  49.750000,-0.59183,49.750000, 60.75000
392, 60.750000  50.250000,-0.63422,50.250000, 60.75000
393, 60.750000  50.750000,-0.5359,50.750000, 60.75000
394, 60.750000  51.250000,-0.2586,51.250000, 60.75000
395, 60.750000  51.750000,-0.21342,51.750000, 60.75000
396, 60.750000  52.250000,-0.1725,52.250000, 60.75000
397, 60.750000  52.750000,0.098987,52.750000, 60.75000
398, 60.750000  53.250000,0.2427,53.250000, 60.75000
399, 60.750000  53.750000,0.38114,53.750000, 60.75000
400, 60.750000  54.250000,0.35738,54.250000, 60.75000
401, 61.250000  43.250000,-1.4949,43.250000, 61.25000
402, 61.250000  43.750000,-1.5924,43.750000, 61.25000
403, 61.250000  44.250000,-1.4881,44.250000, 61.25000
404, 61.250000  44.750000,-1.7982,44.750000, 61.25000
405, 61.250000  45.250000,-1.8416,45.250000, 61.25000
406, 61.250000  45.750000,-1.7412,45.750000, 61.25000
407, 61.250000  46.250000,-1.5614,46.250000, 61.25000
408, 61.250000  46.750000,-1.5694,46.750000, 61.25000
409, 61.250000  47.250000,-1.1448,47.250000, 61.25000
410, 61.250000  47.750000,-1.1168,47.750000, 61.25000
411, 61.250000  48.250000,-1.0496,48.250000, 61.25000
412, 61.250000  48.750000,-0.81218,48.750000, 61.25000
413, 61.250000  49.250000,-0.54719,49.250000, 61.25000
414, 61.250000  49.750000,-0.342,49.750000, 61.25000
415, 61.250000  50.250000,-0.46557,50.250000, 61.25000
416, 61.250000  50.750000,-0.23821,50.750000, 61.25000
417, 61.250000  51.250000,-0.11192,51.250000, 61.25000
418, 61.250000  51.750000,-0.059736,51.750000, 61.25000
419, 61.250000  52.250000,0.035647,52.250000, 61.25000
420, 61.250000  52.750000,0.025462,52.750000, 61.25000
421, 61.250000  53.250000,0.32546,53.250000, 61.25000
422, 61.250000  53.750000,0.34285,53.750000, 61.25000
423, 61.250000  54.250000,0.40168,54.250000, 61.25000
424, 61.750000  43.250000,-1.437,43.250000, 61.75000
425, 61.750000  43.750000,-1.5279,43.750000, 61.75000
426, 61.750000  44.250000,-1.4618,44.250000, 61.75000
427, 61.750000  44.750000,-1.7331,44.750000, 61.75000
428, 61.750000  45.250000,-1.6507,45.250000, 61.75000
429, 61.750000  45.750000,-1.6202,45.750000, 61.75000
430, 61.750000  46.250000,-1.5258,46.250000, 61.75000
431, 61.750000  46.750000,-1.4312,46.750000, 61.75000
432, 61.750000  47.250000,-1.0379,47.250000, 61.75000
